	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	FDR
0	DB03444	6-bromoindirubin-3'-oxime		GSK3B	-6.765339548939701	<0.0001
1	DB01950	AR-AO-14418		GSK3B	-6.765339548939701	<0.0001
2	DB07794	5-(2-PHENYLPYRAZOLO[1,5-A]PYRIDIN-3-YL)-1H-PYRAZOLO[3,4-C]PYRIDAZIN-3-AMINE		MAPK1	-6.54324329690517	<0.0001
3	DB07460	2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE		PTK2	-5.777706101395434	<0.0001
4	DB08881	Vemurafenib	"Vemurafenib is approved since 2011 for the treatment of metastatic melanoma with a mutation on BRAF in the valine located in the exon 15 at codon 600, this mutation is denominated as V600E.[A31270] The V600E mutation, a substitution of glutamic acid for valine, accounts for 54% of the cases of cutaneous melanoma.[A31271] 
Vemurafenib approval was extended in 2017, for its use as a treatment of adult patients with Erdheim-Chester Disease whose cancer cells present BRAF V600 mutation.[L1013] Erdheim-Chester disease is an extremely rare histiocyte cell disorder that affects large bones, large vessels, central nervous system, as well as, skin and lungs. It is reported an association of Erdheim-Chester disease and V600E mutation.[A31272]"	BRAF	-5.562848426051958	<0.0001
5	DB06999	PLX-4720		BRAF	-5.562848426051958	<0.0001
6	DB07970	5-[(2-methyl-5-{[3-(trifluoromethyl)phenyl]carbamoyl}phenyl)amino]pyridine-3-carboxamide		EPHA7	-5.308427048944777	<0.0001
7	DB02565	4-(dimethylamino)-N-[7-(hydroxyamino)-7-oxoheptyl]benzamide		HDAC8	-5.202047907179303	<0.0001
8	DB07350	(2E)-N-hydroxy-3-[1-methyl-4-(phenylacetyl)-1H-pyrrol-2-yl]prop-2-enamide		HDAC8	-5.202047907179303	<0.0001
9	DB04960	Tipifarnib	Investigated for use/treatment in colorectal cancer, leukemia (myeloid), pancreatic cancer, and solid tumors.	FNTB	-4.975981585149362	<0.0001
10	DB02918	Zardaverine		PDE4D	-4.707132745438332	<0.0001
11	DB02877	Arotinoid acid		RARB	-4.437058148297429	<0.0001
12	DB05134	Tanespimycin	Investigated for use/treatment in leukemia (myeloid) and solid tumors.	HSP90AA1, HSP90AB1	-3.532011009669228	<0.0001
13	DB00615	Rifabutin	For the prevention of disseminated <i>Mycobacterium avium</i> complex (MAC) disease in patients with advanced HIV infection.	HSP90AA1, HSP90B1	-3.532011009669228	<0.0001
