	DrugBank_ID	DrugBank_Name	Indication	Targets	Proximity	FDR
0	DB11963	Dacomitinib	"Dacomitinib is indicated as the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) exon 19 deletion or exon 21 L858R substitution mutations as verified by an FDA-approved test.[L4812]

Lung cancer is the leading cause of cancer death and NSCLC accounts for 85% of lung cancer cases. From the cases of NSCLC, approximately 75% of the patients present a late diagnosis with metastatic and advanced disease which produces a survival rate of 5%. The presence of a mutation in EGFR accounts for more than the 60% of the NSCLC cases and the overexpression of EGFR is associated with frequent lymph node metastasis and poor chemosensitivity.[A40018, A19201]"	EGFR	-7.734956738890897	<0.0001
1	DB11828	Neratinib	For use as an extended adjuvant treatment in adult patients with early stage HER2-overexpressed/amplified breast cancer, to follow adjuvant trastuzumab-based therapy [FDA Label].	EGFR	-7.734956738890897	<0.0001
2	DB09330	Osimertinib	Osimertinib is indicated for the treatment of patients with metastatic epidermal growth factor receptor (EGFR) T790M mutation-positive non-small cell lung cancer (NSCLC), as detected by an FDA- approved test, who have progressed on or after EGFR-TKI therapy.	EGFR	-7.734956738890897	<0.0001
3	DB00317	Gefitinib	For the continued treatment of patients with locally advanced or metastatic non-small cell lung cancer after failure of either platinum-based or docetaxel chemotherapies.	EGFR	-7.734956738890897	<0.0001
4	DB05134	Tanespimycin	Investigated for use/treatment in leukemia (myeloid) and solid tumors.	HSP90AB1, HSP90AA1	-7.262657656610383	<0.0001
5	DB07460	2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE		PTK2	-5.992923706753466	<0.0001
6	DB15399	BMS-754807		INSR, IGF1R	-5.913863861876912	<0.0001
7	DB13044	Gossypol		BCL2L1	-5.910380441382423	<0.0001
8	DB00261	Anagrelide	Anagrelide is indicated for the treatment of thrombocythemia, secondary to malignant neoplasms, to reduce platelet count and the associated risk of thrombosis. It is also beneficial in the amelioration of thrombocythemia symptoms including thrombo-hemorrhagic events.[L14153]	PDE3A	-4.920877206380851	<0.0001
9	DB02918	Zardaverine		PDE4D	-4.885458874337851	<0.0001
10	DB04149	(R)-Rolipram		PDE4B, PDE4D	-4.854329201998982	<0.0001
11	DB02424	Geldanamycin		HSP90B1, HSP90AB1, HSP90AA1	-4.8446343808215095	<0.0001
12	DB06654	Safinamide	Safinamide is indicated as an add-on treatment to levodopa with or without other medicines for Parkinson’s disease	MAOB	-4.606077628019641	<0.0001
13	DB00530	Erlotinib	"Erlotinib is indicated for:

- The treatment of metastatic non-small cell lung cancer (NSCLC) with tumors showing epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations [FDA label]. 

- In combination with first-line treatment for patients diagnosed with locally advanced, unresectable or metastatic pancreatic cancer [FDA label].

The safety and efficacy of erlotinib have not been established for patients with NSCLC whose tumors show other EGFR mutations. Additionally it is not recommended for use in combination with platinum-based chemotherapy. [FDA label]"	EGFR, NR1I2	-3.8717722840673288	<0.0001
14	DB07863	2-chloro-5-nitro-N-phenylbenzamide		NCOA2, RXRA, PPARG	-3.765426470793367	<0.0001
15	DB07557	3,20-Pregnanedione		RXRA, NR1I3, NCOA1, AKR1D1	-2.857970764069166	<0.0001
16	DB11781	Tosedostat		LTA4H, NPEPPS	-2.6960773246566916	<0.0001
17	DB01132	Pioglitazone	Pioglitazone is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.[L11416] It is also available in combination with [metformin],[L11419] [glimepiride],[L11422] or [alogliptin][L11425] for the same indication.	MAOB, PPARG	-2.307332728631701	<0.0001
18	DB01248	Docetaxel	For the treatment of patients with locally advanced or metastatic breast cancer after failure of prior chemotherapy. Also used as a single agent in the treatment of patients with locally advanced or metastatic non-small cell lung cancer after failure of prior platinum-based chemotherapy. It is also used in combination with prednisone, in the treatment of patients with androgen independent (hormone refractory) metastatic prostate cancer. Furthermore, docetaxel has uses in the treatment of gastric adenocarinoma and head and neck cancer. 	TUBB1, MAP4, BCL2, NR1I2, MAP2, MAPT	-2.0365606128928118	<0.0001
19	DB12500	Fedratinib	Fedratinib is indicated to treat adults with primary or secondary myelofibrosis that is either intermediate-2 or high risk.[L8090]	FLT3, JAK1, JAK2	-1.9985449616875408	<0.0001
20	DB08175	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID		NCOA2, RXRB, NR1H3	-1.8226806260923643	<0.0001
21	DB00243	Ranolazine	"Ranolazine is indicated for the treatment of chronic angina. It can be used alone or in conjunction with nitrates, beta-blockers, angiotensin receptor blockers, anti-platelet drugs, calcium channel blockers, lipid-lowering drugs, and ACE inhibitors.[L3580]

Ranolazine has also been used off-label for the treatment of certain arrhythmias, including ventricular tachycardia, however, this use is not strongly  supported by scientific evidence.[A174940] Ranolazine has also been studied for the treatment of acute coronary syndrome, microvascular coronary dysfunction, arrhythmia, and glycemic control, which are not yet approved indications.[A174898,L3580]"	SCN1A, ADRB1, ADRA1A, CACNA1C, KCNJ12	-1.8088720746290532	<0.0001
22	DB01054	Nitrendipine	For the treatment of mild to moderate hypertension	CACNA1S, CACNA1H, CACNA1D, CACNB2, CACNA2D2, CACNA1C, CACNA2D1	-1.696960799456278	<0.0001
23	DB01262	Decitabine	Decitabine is indicated for the treatment of patients with myelodysplastic syndromes (MDS) including all French-American-British subtypes (refractory anemia, refractory anemia with ringed sideroblasts, refractory anemia with excess blasts, refractory anemia with excess blasts in transformation, and chronic myelomonocytic leukemia), as well as for MDS scored as belonging to the intermediate-1, intermediate-2, or high-risk group in the International Prognostic Scoring System.[L14962]	DNMT3B, DNMT3A, DNMT1	-1.6924743985348896	<0.0001
24	DB08059	Wortmannin		PLK1, PIK3CA, PIK3CG, PIK3R1	-1.6680854550979256	<0.0001
25	DB08080	Latrunculin B		SPIRE2, MRTFA, ACTA1	-1.649853560308348	<0.0001
26	DB05294	Vandetanib	Vandetanib is currently approved as an alternative to local therapies for both unresectable and disseminated disease. Because Vandetanib can prolong the Q-T interval, it is contraindicated for use in patients with serious cardiac complications such as congenital long QT syndrome and uncompensated heart failure. 	PTK6, TEK, RET, EGFR, VEGFA	-1.5538616111731882	<0.0001
27	DB11886	Infigratinib	Infigratinib is indicated for the treatment of previously treated, unresectable locally advanced or metastatic cholangiocarcinoma in adults with a fibroblast growth factor receptor 2 (FGFR2) fusion or another rearrangement as detected by an FDA-approved test.[L34299]	FGFR2, FGFR3, FGFR1, FGFR4	-1.5471176576370473	<0.0001
28	DB00393	Nimodipine	For use as an adjunct to improve neurologic outcome following subarachnoid hemorrhage (SAH) from ruptured intracranial berry aneurysms by reducing the incidence and severity of ischemic deficits.	CACNA1S, CACNB3, CACNA1D, CACNB1, CACNB2, CACNB4, NR3C2, AHR, CACNA1C, CACNA1F	-1.5045542350006031	<0.0001
29	DB01115	Nifedipine	Nifedipine capsules are indicated to treat vasospastic angina and chronic stable angina.[L11383] Extended release tablets are indicated to treat vasospastic angina, chronic stable angina, and hypertension.[L11389,L1245]	CACNA1S, CACNA1D, KCND3, CACNB2, CACNA1G, NR1I2, CACNA1C, CALM1	-1.311032036064578	<0.0001
30	DB00203	Sildenafil	"Sildenafil is a phosphodiesterase-5 (PDE5) inhibitor that is predominantly employed for two primary indications:

(1) the treatment of erectile dysfunction [A175582, L5611, F3853, F3856, F3886]; and

(2) treatment of pulmonary hypertension, where:
a) the US FDA specifically indicates sildenafil for the treatment of pulmonary arterial hypertension (PAH) (WHO Group I) in adults to improve exercise ability and delay clinical worsening [F3850]. The delay in clinical worsening was demonstrated when sildenafil was added to background epoprostenol therapy [F3850]. Studies establishing effectiveness were short-term (12 to 16 weeks), and included predominately patients with New York Heart Association (NYHA) Functional Class II-III symptoms and idiopathic etiology (71%) or associated with connective tissue disease (CTD) (25%) [F3850];

b) the Canadian product monograph specifically indicates sildenafil for the treatment of primary pulmonary arterial hypertension (PPH) or pulmonary hypertension secondary to connective tissue disease (CTD) in adult patients with WHO functional class II or III who have not responded to conventional therapy [F3859]. In addition, improvement in exercise ability and delay in clinical worsening was demonstrated in adult patients who were already stabilized on background epoprostenol therapy [F3859]; and

c) the EMA product information specifically indicates sildenafil for the treatment of adult patients with pulmonary arterial hypertension classified as WHO functional class II and III, to improve exercise capacity [F3883]. Efficacy has been shown in primary pulmonary hypertension and pulmonary hypertension associated with connective tissue disease [F3883]. The EMA label also indicates sildenafil for the treatment of pediatric patients aged 1 year to 17 years old with pulmonary arterial hypertension [F3883]. Efficacy in terms of improvement of exercise capacity or pulmonary hemodynamics has been shown in primary pulmonary hypertension and pulmonary hypertension associated with congenital heart disease [F3883]."	PDE6H, PDE6G, PDE5A	-1.2561639262792332	<0.0001
31	DB01782	Pyrazolanthrone		TTK, MAPK10, MAPK8IP1, MAPK8	-1.2451846941940365	<0.0001
32	DB01622	Thioproperazine	For the treatment of all types of acute and chronic schizophrenia, including those which did not respond to the usual neuroleptics; manic syndromes.	ADRA1B, ADRA1A, DRD1, DRD2	-1.1178885057779682	<0.0001
33	DB00132	alpha-Linolenic acid	For nutritional supplementation and for treating dietary shortage or imbalance.	ELOVL5, RXRA, PPARD, FADS1, ELOVL2, PPARA, SLC8A1, NR1H4, FADS2, PPARG, TRPV1	-1.110674849223715	<0.0001
34	DB01088	Iloprost	Used for the treatment of pulmonary arterial hypertension.	PTGIR, PLAT, PTGDR2, PDE4B, PDE4D, PDE4C, PDE4A, PTGER1	-1.1056657582228326	<0.0001
35	DB00280	Disopyramide	For the treatment of documented ventricular arrhythmias, such as sustained ventricular tachycardia, ventricular pre-excitation and cardiac dysrhythmias. It is a Class Ia antiarrhythmic drug.	SCN5A, KCNH2, CHRM3, ORM2, KCND3, CHRM2, KCND2, CHRM1	-1.0524990212157677	<0.0001
36	DB00622	Nicardipine	Used for the management of patients with chronic stable angina and for the treatment of hypertension.	CHRM4, CALM1, CHRM3, CACNA1D, PDE1A, CACNB2, ADRA1D, ADRA1B, CHRM2, ADRA1A, CHRM5, CACNA1C, PDE1B, CACNA2D1, CHRM1	-1.0313181081735332	<0.0001
37	DB03756	Doconexent	Used as a high-docosahexaenoic acid (DHA) oral supplement. 	RXRB, RXRG, PPARA, SREBF1, RXRA, PPARG	-0.9799607515942625	<0.0001
38	DB00162	Vitamin A	For the treatment of vitamin A deficiency.	ALDH1A2, RDH5, RETSAT, DHRS4, RDH12, ALDH1A1, APOD, RDH11, PTGDS, DHRS3, RDH13, RDH14, RDH8, LRAT, ALDH1A3	-0.9408227796294079	<0.0001
39	DB00490	Buspirone	Indicated for the management of anxiety disorders or the short-term relief of the symptoms of anxiety.[L4478]	DRD3, DRD2, HTR1A, ADRA1A, DRD4	-0.8960283704711268	<0.0001
40	DB09202	Cirazoline		ADRA1B, ADRA2A, ADRA1D, ADRA1A	-0.8891736773585008	<0.0001
41	DB02587	Colforsin		CFTR, ADCY5, GNAS, ADCY2	-0.8566738947596245	<0.0001
